governorate,mean_rate,trend_slope,std_rate,min_rate,max_rate,best_rank,worst_rank,covid_recovery_pct,rank_volatility,nb_lycees,lycees_per_1k,poverty_rate,illiteracy_rate,population,predicted_rate,residual,outlier_type,cluster_kmeans,pca1,pca2,lycee_ratio,lycee_quartile
Sfax 1,54.46,1.796,9.62,37.02,64.36,1,3,73.85197190707724,0.7440238091428449,25,0.69,8.3,17.1,514182,46.069719502429066,8.390280497570934,Overperformer,0,-2.2375348436485654,-0.31076699284282716,0.69,Q2
Sfax 2,54.08,1.737,8.54,39.73,64.53,1,2,62.42134407248932,0.5345224838248488,19,0.524,8.3,17.1,514182,46.069719502429066,8.010280497570932,Overperformer,0,-2.529020173704331,-0.6247358792958189,0.524,Q1 (low)
Monastir,49.25,1.34,9.07,35.3,63.3,2,10,79.3201133144476,2.672612419124244,28,0.65,8.6,11.7,611118,45.63171664653969,3.6182833534603134,Expected,0,-1.6681843039052717,0.0004273590182725257,0.65,Q2
Mahdia,46.88,2.243,10.0,32.78,62.48,3,10,90.60402684563756,2.065879266282796,23,0.728,17.6,22.2,448273,38.59262859798572,8.287371402014287,Overperformer,0,-0.4815676353877921,0.4778033771324001,0.728,Q2
Sousse,47.52,1.725,8.94,33.34,60.69,3,7,82.03359328134371,1.1259916264596033,29,0.546,12.3,13.6,753670,42.65239642405895,4.867603575941054,Expected,0,-1.9026608315079883,-0.3379874148994546,0.546,Q1 (low)
Ariana,47.88,1.41,7.27,34.41,57.27,3,6,66.43417611159549,1.0690449676496976,22,0.463,7.4,11.3,674025,46.605629821872256,1.2743701781277466,Expected,0,-2.4809918718134805,-0.7022637080505785,0.463,Q1 (low)
Nabeul,44.0,1.907,8.71,29.17,56.66,7,12,94.2406582104902,1.7268882005337975,24,0.39,6.7,15.7,873824,47.33761804763939,-3.3376180476393884,Expected,0,-1.9183350592692339,0.009706197963351336,0.39,Q1 (low)
Tunis 1,44.92,2.231,9.29,29.37,56.4,6,10,92.03268641470888,1.5059406173077154,29,0.763,4.6,11.2,539206,48.90756731614163,-3.9875673161416287,Expected,0,-1.8653535537883223,0.9399578872186172,0.763,Q3
Médenine,44.44,2.524,9.02,29.94,55.32,3,11,84.76953907815631,2.559994419636775,32,0.869,19.3,16.2,522294,36.98066772853683,7.459332271463168,Overperformer,0,-0.21185851600989553,1.4335017129168541,0.869,Q3
Tunis 2,42.11,1.905,9.8,26.49,55.31,9,13,108.79577198943,1.6035674514745464,18,0.474,4.6,11.2,539206,48.90756731614163,-6.797567316141631,Underperformer,0,-2.1047571083286414,0.24475159437479732,0.474,Q1 (low)
Ben Arous,44.7,1.995,8.39,31.67,55.27,7,11,74.51847173981686,1.457737973711325,26,0.511,5.3,10.3,721956,48.299367448046645,-3.5993674480466424,Expected,0,-2.256160533266469,0.39790985374164145,0.511,Q1 (low)
Bizerte,40.72,1.509,8.07,28.09,53.79,11,14,91.49163403346388,1.1259916264596033,23,0.544,12.7,20.5,600012,42.56708285711425,-1.847082857114252,Expected,0,-1.1068021872901925,-1.0347773748740463,0.544,Q1 (low)
Gabès,40.33,2.33,10.14,22.83,51.85,10,15,127.11344721857208,1.4078859531733587,25,0.871,18.7,17.8,407078,37.53128690014879,2.7987130998512058,Expected,0,-0.304152575134688,0.5687141298546269,0.871,Q3
Mannouba,37.59,2.121,8.83,23.97,49.31,13,14,105.7154776804339,0.3535533905932738,19,0.632,18.0,16.7,426525,38.06875056385969,-0.478750563859684,Expected,0,-0.9542695199153904,-0.33853558151722557,0.632,Q2
Zaghouan,32.28,1.943,8.03,21.23,43.0,15,23,102.54357041921809,2.866057521105554,11,0.817,16.2,26.9,191066,39.911595830532605,-7.6315958305326035,Underperformer,1,0.927020853145634,0.12831702870047346,0.817,Q3
Siliana,31.29,1.932,7.86,21.59,42.96,15,22,98.98100972672536,2.4494897427831783,23,1.424,27.8,32.1,229153,30.544259271907134,0.7457407280928656,Expected,1,2.679700623171129,0.010823486471532025,1.424,Q4 (high)
Béja,33.03,1.729,7.29,20.91,42.25,15,19,102.05643232902916,1.457737973711325,21,0.965,28.5,29.3,308710,29.86886000964727,3.16113999035273,Expected,1,1.45542556467609,-0.9466588129496654,0.965,Q4 (high)
Kef,30.93,1.893,6.94,20.45,39.68,17,20,94.03422982885084,1.035098339013531,19,1.088,29.5,26.4,247741,28.94290883311585,1.987091166884145,Expected,1,1.5103843517072195,-0.6879960978091674,1.088,Q4 (high)
Kairouan,29.56,1.639,6.8,19.39,39.67,16,22,104.5899948427024,2.1876275473019366,28,0.66,32.8,35.6,601915,26.55112922870683,3.008870771293168,Expected,1,2.0503645795183614,-1.4072157065589848,0.66,Q2
Kasserine,25.08,0.946,7.02,16.08,39.63,17,26,85.44688816097333,3.4820970692960294,30,0.913,33.5,32.7,465832,25.87219315622777,-0.7921931562277678,Expected,1,2.952669570685696,-1.5778842589576265,0.913,Q3
Sidi Bouzid,30.35,1.677,5.94,23.7,39.61,13,24,64.28867689755289,3.693623849670827,29,0.894,24.3,30.4,459891,33.36597637879137,-3.015976378791372,Expected,1,2.070047860018818,-0.1490250000047746,0.894,Q3
