governorate,code,year,rank,success_rate,nb_lycees,lycees_per_1k,poverty_rate,illiteracy_rate,population,is_split_gov
Sfax 1,71,2018,1,55.88,25,0.69,8.3,17.1,514182,True
Sfax 1,71,2019,3,43.01,25,0.69,8.3,17.1,514182,True
Sfax 1,71,2020,2,37.02,25,0.69,8.3,17.1,514182,True
Sfax 1,71,2021,2,64.36,25,0.69,8.3,17.1,514182,True
Sfax 1,71,2022,1,60.95,25,0.69,8.3,17.1,514182,True
Sfax 1,71,2023,1,56.05,25,0.69,8.3,17.1,514182,True
Sfax 1,71,2024,2,62.63,25,0.69,8.3,17.1,514182,True
Sfax 1,71,2025,1,55.75,25,0.69,8.3,17.1,514182,True
Sfax 2,72,2018,2,48.54,19,0.524,8.3,17.1,514182,True
Sfax 2,72,2019,1,49.32,19,0.524,8.3,17.1,514182,True
Sfax 2,72,2020,1,39.73,19,0.524,8.3,17.1,514182,True
Sfax 2,72,2021,1,64.53,19,0.524,8.3,17.1,514182,True
Sfax 2,72,2022,2,60.92,19,0.524,8.3,17.1,514182,True
Sfax 2,72,2023,2,51.31,19,0.524,8.3,17.1,514182,True
Sfax 2,72,2024,1,63.39,19,0.524,8.3,17.1,514182,True
Sfax 2,72,2025,2,54.89,19,0.524,8.3,17.1,514182,True
Monastir,83,2018,4,44.55,28,0.65,8.6,11.7,611118,False
Monastir,83,2019,2,43.43,28,0.65,8.6,11.7,611118,False
Monastir,83,2020,3,35.3,28,0.65,8.6,11.7,611118,False
Monastir,83,2021,3,63.3,28,0.65,8.6,11.7,611118,False
Monastir,83,2022,3,55.15,28,0.65,8.6,11.7,611118,False
Monastir,83,2023,7,48.48,28,0.65,8.6,11.7,611118,False
Monastir,83,2024,4,58.16,28,0.65,8.6,11.7,611118,False
Monastir,83,2025,10,45.63,28,0.65,8.6,11.7,611118,False
Mahdia,82,2018,10,38.73,23,0.728,17.6,22.2,448273,False
Mahdia,82,2019,6,37.55,23,0.728,17.6,22.2,448273,False
Mahdia,82,2020,6,32.78,23,0.728,17.6,22.2,448273,False
Mahdia,82,2021,4,62.48,23,0.728,17.6,22.2,448273,False
Mahdia,82,2022,6,51.27,23,0.728,17.6,22.2,448273,False
Mahdia,82,2023,5,49.4,23,0.728,17.6,22.2,448273,False
Mahdia,82,2024,3,55.75,23,0.728,17.6,22.2,448273,False
Mahdia,82,2025,5,47.12,23,0.728,17.6,22.2,448273,False
Sousse,84,2018,5,43.45,29,0.546,12.3,13.6,753670,False
Sousse,84,2019,5,38.25,29,0.546,12.3,13.6,753670,False
Sousse,84,2020,5,33.34,29,0.546,12.3,13.6,753670,False
Sousse,84,2021,5,60.69,29,0.546,12.3,13.6,753670,False
Sousse,84,2022,4,53.29,29,0.546,12.3,13.6,753670,False
Sousse,84,2023,3,50.76,29,0.546,12.3,13.6,753670,False
Sousse,84,2024,5,53.73,29,0.546,12.3,13.6,753670,False
Sousse,84,2025,7,46.68,29,0.546,12.3,13.6,753670,False
Ariana,12,2018,3,44.99,22,0.463,7.4,11.3,674025,False
Ariana,12,2019,4,42.24,22,0.463,7.4,11.3,674025,False
Ariana,12,2020,4,34.41,22,0.463,7.4,11.3,674025,False
Ariana,12,2021,6,57.27,22,0.463,7.4,11.3,674025,False
Ariana,12,2022,5,52.92,22,0.463,7.4,11.3,674025,False
Ariana,12,2023,4,49.81,22,0.463,7.4,11.3,674025,False
Ariana,12,2024,6,53.42,22,0.463,7.4,11.3,674025,False
Ariana,12,2025,4,47.95,22,0.463,7.4,11.3,674025,False
Nabeul,91,2018,7,40.14,24,0.39,6.7,15.7,873824,False
Nabeul,91,2019,9,35.5,24,0.39,6.7,15.7,873824,False
Nabeul,91,2020,10,29.17,24,0.39,6.7,15.7,873824,False
Nabeul,91,2021,7,56.66,24,0.39,6.7,15.7,873824,False
Nabeul,91,2022,12,46.77,24,0.39,6.7,15.7,873824,False
Nabeul,91,2023,8,47.48,24,0.39,6.7,15.7,873824,False
Nabeul,91,2024,10,50.26,24,0.39,6.7,15.7,873824,False
Nabeul,91,2025,8,46.05,24,0.39,6.7,15.7,873824,False
Tunis 1,10,2018,6,40.14,29,0.763,4.6,11.2,539206,True
Tunis 1,10,2019,10,34.91,29,0.763,4.6,11.2,539206,True
Tunis 1,10,2020,9,29.37,29,0.763,4.6,11.2,539206,True
Tunis 1,10,2021,8,56.4,29,0.763,4.6,11.2,539206,True
Tunis 1,10,2022,8,50.44,29,0.763,4.6,11.2,539206,True
Tunis 1,10,2023,6,48.71,29,0.763,4.6,11.2,539206,True
Tunis 1,10,2024,8,52.58,29,0.763,4.6,11.2,539206,True
Tunis 1,10,2025,6,46.85,29,0.763,4.6,11.2,539206,True
Médenine,63,2018,11,37.99,32,0.869,19.3,16.2,522294,False
Médenine,63,2019,8,35.64,32,0.869,19.3,16.2,522294,False
Médenine,63,2020,8,29.94,32,0.869,19.3,16.2,522294,False
Médenine,63,2021,9,55.32,32,0.869,19.3,16.2,522294,False
Médenine,63,2022,11,48.4,32,0.869,19.3,16.2,522294,False
Médenine,63,2023,10,44.91,32,0.869,19.3,16.2,522294,False
Médenine,63,2024,9,52.58,32,0.869,19.3,16.2,522294,False
Médenine,63,2025,3,50.75,32,0.869,19.3,16.2,522294,False
Tunis 2,11,2018,9,38.92,18,0.474,4.6,11.2,539206,True
Tunis 2,11,2019,13,31.72,18,0.474,4.6,11.2,539206,True
Tunis 2,11,2020,12,26.49,18,0.474,4.6,11.2,539206,True
Tunis 2,11,2021,10,55.31,18,0.474,4.6,11.2,539206,True
Tunis 2,11,2022,9,50.4,18,0.474,4.6,11.2,539206,True
Tunis 2,11,2023,13,40.6,18,0.474,4.6,11.2,539206,True
Tunis 2,11,2024,11,50.1,18,0.474,4.6,11.2,539206,True
Tunis 2,11,2025,11,43.31,18,0.474,4.6,11.2,539206,True
Ben Arous,13,2018,8,39.07,26,0.511,5.3,10.3,721956,False
Ben Arous,13,2019,7,36.16,26,0.511,5.3,10.3,721956,False
Ben Arous,13,2020,7,31.67,26,0.511,5.3,10.3,721956,False
Ben Arous,13,2021,11,55.27,26,0.511,5.3,10.3,721956,False
Ben Arous,13,2022,7,51.13,26,0.511,5.3,10.3,721956,False
Ben Arous,13,2023,9,45.94,26,0.511,5.3,10.3,721956,False
Ben Arous,13,2024,7,52.63,26,0.511,5.3,10.3,721956,False
Ben Arous,13,2025,9,45.72,26,0.511,5.3,10.3,721956,False
Bizerte,21,2018,12,36.97,23,0.544,12.7,20.5,600012,False
Bizerte,21,2019,11,33.12,23,0.544,12.7,20.5,600012,False
Bizerte,21,2020,11,28.09,23,0.544,12.7,20.5,600012,False
Bizerte,21,2021,12,53.79,23,0.544,12.7,20.5,600012,False
Bizerte,21,2022,14,43.37,23,0.544,12.7,20.5,600012,False
Bizerte,21,2023,11,43.27,23,0.544,12.7,20.5,600012,False
Bizerte,21,2024,13,47.03,23,0.544,12.7,20.5,600012,False
Bizerte,21,2025,13,40.12,23,0.544,12.7,20.5,600012,False
Gabès,64,2018,13,33.3,25,0.871,18.7,17.8,407078,False
Gabès,64,2019,12,32.7,25,0.871,18.7,17.8,407078,False
Gabès,64,2020,15,22.83,25,0.871,18.7,17.8,407078,False
Gabès,64,2021,13,51.85,25,0.871,18.7,17.8,407078,False
Gabès,64,2022,10,49.51,25,0.871,18.7,17.8,407078,False
Gabès,64,2023,12,41.25,25,0.871,18.7,17.8,407078,False
Gabès,64,2024,12,49.59,25,0.871,18.7,17.8,407078,False
Gabès,64,2025,12,41.63,25,0.871,18.7,17.8,407078,False
Mannouba,15,2018,14,31.77,19,0.632,18.0,16.7,426525,False
Mannouba,15,2019,14,28.06,19,0.632,18.0,16.7,426525,False
Mannouba,15,2020,14,23.97,19,0.632,18.0,16.7,426525,False
Mannouba,15,2021,14,49.31,19,0.632,18.0,16.7,426525,False
Mannouba,15,2022,13,44.16,19,0.632,18.0,16.7,426525,False
