gov_fr,Code,population,pop_15_19_est,nb_lycees,lycees_per_1k,poverty_rate,illiteracy_rate,rate_mean,rate_trend,rate_volatility,2018_Rate,2019_Rate,2020_Rate,2021_Rate,2022_Rate,2023_Rate,2024_Rate,2025_Rate,2018_Rank,2019_Rank,2020_Rank,2021_Rank,2022_Rank,2023_Rank,2024_Rank,2025_Rank
Sfax 1,71,514182,36250,25,0.69,8.3,17.1,54.46,1.796,9.62,55.88,43.01,37.02,64.36,60.95,56.05,62.63,55.75,1,3,2,2,1,1,2,1
Sfax 2,72,514182,36250,19,0.524,8.3,17.1,54.08,1.737,8.54,48.54,49.32,39.73,64.53,60.92,51.31,63.39,54.89,2,1,1,1,2,2,1,2
Monastir,83,611118,43084,28,0.65,8.6,11.7,49.25,1.34,9.07,44.55,43.43,35.3,63.3,55.15,48.48,58.16,45.63,4,2,3,3,3,7,4,10
Mahdia,82,448273,31603,23,0.728,17.6,22.2,46.88,2.243,10.0,38.73,37.55,32.78,62.48,51.27,49.4,55.75,47.12,10,6,6,4,6,5,3,5
Sousse,84,753670,53134,29,0.546,12.3,13.6,47.52,1.725,8.94,43.45,38.25,33.34,60.69,53.29,50.76,53.73,46.68,5,5,5,5,4,3,5,7
Ariana,12,674025,47519,22,0.463,7.4,11.3,47.88,1.41,7.27,44.99,42.24,34.41,57.27,52.92,49.81,53.42,47.95,3,4,4,6,5,4,6,4
Nabeul,91,873824,61605,24,0.39,6.7,15.7,44.0,1.907,8.71,40.14,35.5,29.17,56.66,46.77,47.48,50.26,46.05,7,9,10,7,12,8,10,8
Tunis 1,10,539206,38014,29,0.763,4.6,11.2,44.92,2.231,9.29,40.14,34.91,29.37,56.4,50.44,48.71,52.58,46.85,6,10,9,8,8,6,8,6
Médenine,63,522294,36822,32,0.869,19.3,16.2,44.44,2.524,9.02,37.99,35.64,29.94,55.32,48.4,44.91,52.58,50.75,11,8,8,9,11,10,9,3
Tunis 2,11,539206,38014,18,0.474,4.6,11.2,42.11,1.905,9.8,38.92,31.72,26.49,55.31,50.4,40.6,50.1,43.31,9,13,12,10,9,13,11,11
Ben Arous,13,721956,50898,26,0.511,5.3,10.3,44.7,1.995,8.39,39.07,36.16,31.67,55.27,51.13,45.94,52.63,45.72,8,7,7,11,7,9,7,9
Bizerte,21,600012,42301,23,0.544,12.7,20.5,40.72,1.509,8.07,36.97,33.12,28.09,53.79,43.37,43.27,47.03,40.12,12,11,11,12,14,11,13,13
Gabès,64,407078,28699,25,0.871,18.7,17.8,40.33,2.33,10.14,33.3,32.7,22.83,51.85,49.51,41.25,49.59,41.63,13,12,15,13,10,12,12,12
Mannouba,15,426525,30070,19,0.632,18.0,16.7,37.59,2.121,8.83,31.77,28.06,23.97,49.31,44.16,39.3,44.57,39.59,14,14,14,14,13,14,14,14
Zaghouan,14,191066,13470,11,0.817,16.2,26.9,32.28,1.943,8.03,23.14,26.72,21.23,43.0,36.29,36.22,40.44,31.19,21,15,18,15,17,16,17,23
Siliana,42,229153,16155,23,1.424,27.8,32.1,31.29,1.932,7.86,24.57,22.12,21.59,42.96,36.63,31.5,37.67,33.3,17,22,16,16,15,20,18,20
Béja,31,308710,21764,21,0.965,28.5,29.3,33.03,1.729,7.29,29.0,26.43,20.91,42.25,34.47,36.21,41.25,33.72,15,16,19,17,19,17,16,18
Kef,41,247741,17466,19,1.088,29.5,26.4,30.93,1.893,6.94,23.16,26.21,20.45,39.68,34.8,32.04,37.67,33.42,20,17,20,18,18,19,19,19
Kairouan,81,601915,42435,28,0.66,32.8,35.6,29.56,1.639,6.8,24.96,23.0,19.39,39.67,31.04,30.41,36.43,31.54,16,21,22,19,22,22,22,22
Kasserine,43,465832,32841,30,0.913,33.5,32.7,25.08,0.946,7.02,21.74,16.08,21.37,39.63,23.79,23.65,29.87,24.53,24,26,17,20,26,26,26,26
Sidi Bouzid,51,459891,32422,29,0.894,24.3,30.4,30.35,1.677,5.94,23.7,25.03,24.11,39.61,30.15,30.67,32.41,37.09,18,18,13,21,23,21,24,16
Tozeur,53,116316,8200,10,1.22,20.3,15.4,29.44,2.029,7.58,23.48,22.12,18.4,39.6,31.92,29.11,37.65,33.24,19,23,25,22,21,23,20,21
Tataouine,62,152069,10721,13,1.213,25.1,18.3,32.3,3.634,10.52,21.14,21.8,17.61,38.64,36.4,37.53,46.23,39.08,25,24,26,23,16,15,15,15
Kébili,61,171478,12089,15,1.241,20.5,18.8,30.02,2.657,8.11,22.26,20.38,18.59,37.56,34.32,33.96,36.81,36.28,23,25,24,24,20,18,21,17
Gafsa,52,355341,25052,35,1.397,24.6,21.2,26.64,0.854,5.46,22.83,24.46,18.9,37.39,26.29,25.38,29.87,28.02,22,20,23,25,25,25,26,25
Jendouba,32,405167,28564,21,0.735,27.6,33.4,27.52,1.629,6.26,20.68,22.66,19.74,35.7,29.59,27.52,35.97,28.26,26,22,21,26,24,24,25,24
