Governorate,Code,2018_Rank,2018_Present,2018_Pass,2018_Rate,2019_Rank,2019_Present,2019_Pass,2019_Rate,2020_Rank,2020_Present,2020_Pass,2020_Rate,2021_Rank,2021_Present,2021_Pass,2021_Rate,2022_Rank,2022_Present,2022_Pass,2022_Rate,2023_Rank,2023_Present,2023_Pass,2023_Rate,2024_Rank,2024_Present,2024_Pass,2024_Rate,2025_Rank,2025_Present,2025_Pass,2025_Rate
صفاقس 1,71,1,4771,2666,"55,88%",3,6071,2611,"43,01%",2,6280,2325,"37,02%",2,5418,3487,"64,36%",1,4953,3019,60.95%,1,5324,2984,56.05%,2,5354,3353,"62,63%",1,5840,3256,55.75%
صفاقس 2,72,2,2800,1359,"48,54%",1,3070,1514,"49,32%",1,3365,1337,"39,73%",1,3479,2245,64.53%,2,3252,1981,60.92%,2,3693,1895,51.31%,1,3791,2403,63.39%,2,4307,2364,54.89%
المنستير,83,4,5654,2519,"44,55%",2,6551,2845,"43,43%",3,6646,2346,"35,30%",3,6112,3869,63.30%,3,5570,3072,55.15%,7,6039,2928,48.48%,4,3554,2067,58.16%,10,6928,3161,45.63%
المهدية,82,10,3687,1428,"38,73%",6,3909,1468,"37,55%",6,3975,1303,"32,78%",4,3627,2266,62.48%,6,3222,1652,51.27%,5,3486,1722,49.40%,3,6271,3496,55.75%,5,3988,1879,47.12%
سوسة,84,5,6462,2808,"43,45%",5,7650,2926,"38,25%",5,7850,2617,"33,34%",5,7018,4259,60.69%,4,6187,3297,53.29%,3,6801,3452,50.76%,5,5652,3037,53.73%,7,7629,3561,46.68%
أريانة,12,3,4832,2174,"44,99%",4,5708,2411,"42,24%",4,6010,2068,"34,41%",6,5701,3265,57.27%,5,5017,2655,52.92%,4,5441,2710,49.81%,6,7391,3948,53.42%,4,6323,3032,47.95%
نابل,91,7,6844,2747,"40,14%",9,8201,2911,"35,50%",10,8751,2553,"29,17%",7,7332,4154,56.66%,12,6910,3232,46.77%,8,7648,3631,47.48%,10,7605,3822,50.26%,8,8618,3969,46.05%
تونس 1,10,6,5732,2301,"40,14%",10,7416,2589,"34,91%",9,7508,2205,"29,37%",8,6023,3397,56.40%,8,5276,2661,50.44%,6,5455,2657,48.71%,8,4496,2364,52.58%,6,5947,2786,46.85%
مدنين,63,11,3956,1503,"37,99%",8,4399,1568,"35,64%",8,4532,1357,"29,94%",9,4311,2385,55.32%,11,3959,1916,48.40%,10,4346,1952,44.91%,9,4496,2364,52.58%,3,4964,2519,50.75%
تونس 2,11,9,4784,1862,"38,92%",13,6397,2029,"31,72%",12,6512,1725,"26,49%",10,4950,2738,55.31%,9,4659,2348,50.40%,13,4754,1930,40.60%,11,5070,2540,"50,10%",11,5437,2355,43.31%
بن عروس,13,8,6609,2582,"39,07%",7,8006,2895,"36,16%",7,8365,2649,"31,67%",11,7219,3990,55.27%,7,6969,3563,51.13%,9,7227,3320,45.94%,7,5580,2937,52.63%,9,7883,3604,45.72%
بنزرت,21,12,5569,2059,"36,97%",11,6425,2128,"33,12%",11,5802,1911,"28,09%",12,5860,3152,53.79%,14,5462,2369,43.37%,11,5910,2557,43.27%,13,6151,2893,47.03%,13,6767,2715,40.12%
قابس,64,13,3640,1212,"33,30%",12,4165,1362,"32,70%",15,4270,975,"22,83%",13,3794,1967,51.85%,10,3454,1710,49.51%,12,3595,1483,41.25%,12,3753,1861,49.59%,12,4086,1701,41.63%
منوبة,15,14,3850,1223,"31,77%",14,4455,1250,"28,06%",14,4651,1115,"23,97%",14,4064,2004,49.31%,13,3902,1723,44.16%,14,4087,1606,39.30%,14,4478,1996,44.57%,14,4809,1904,39.59%
زغوان,14,21,1638,379,"23,14%",15,1819,486,"26,72%",18,1771,376,"21,23%",15,1814,780,43.00%,17,1659,602,36.29%,16,1883,682,36.22%,17,1852,749,40.44%,23,2119,661,31.19%
سليانة,42,17,2584,635,"24,57%",22,1501,332,"22,12%",16,2922,631,"21,59%",16,2605,1119,42.96%,15,2356,863,36.63%,20,2495,786,31.50%,18,2968,993,37.67%,20,2694,897,33.30%
باجة,31,15,3069,890,"29,00%",16,3549,938,"26,43%",19,3578,748,"20,91%",17,3330,1407,42.25%,19,3191,1100,34.47%,17,3253,1178,36.21%,16,3290,1357,41.25%,18,3541,1194,33.72%
الكاف,41,20,2975,689,"23,16%",17,3422,897,"26,21%",20,3188,652,"20,45%",18,2901,1151,39.68%,18,2756,959,34.80%,19,2828,906,32.04%,19,2629,1118,37.67%,19,2998,1002,33.42%
القيروان,81,16,5144,1284,"24,96%",21,6052,1392,"23,00%",22,6262,1214,"19,39%",19,5661,2246,39.67%,22,5010,1555,31.04%,22,5297,1611,30.41%,22,5333,1943,36.43%,22,5454,1720,31.54%
القصرين,43,24,4507,980,"21,74%",26,5219,839,"16,08%",17,5296,1132,"21,37%",20,4133,1638,39.63%,26,3972,945,23.79%,26,4427,1047,23.65%,26,4105,1372,29.87%,26,4900,1202,24.53%
سيدي بوزيد,51,18,3967,940,"23,70%",18,4722,1182,"25,03%",13,4711,1136,"24,11%",21,3810,1509,39.61%,23,3708,1118,30.15%,21,4232,1298,30.67%,24,4351,1410,32.41%,16,4379,1624,37.09%
توزر,53,19,1248,293,"23,48%",23,1501,332,"22,12%",25,1554,286,"18,40%",22,1457,577,39.60%,21,1278,408,31.92%,23,1343,391,29.11%,20,1376,518,37.65%,21,1423,473,33.24%
تطاوين,62,25,1660,351,"21,14%",24,1674,365,"21,80%",26,1658,292,"17,61%",23,1519,587,38.64%,16,1327,483,36.40%,15,1271,477,37.53%,15,1235,571,46.23%,15,1420,555,39.08%
قبلي,61,23,1698,378,"22,26%",25,2041,416,"20,38%",24,1899,353,"18,59%",24,1744,655,37.56%,20,1722,591,34.32%,18,1796,610,33.96%,21,1888,695,36.81%,17,2078,754,36.28%
قفصة,52,22,3972,907,"22,83%",20,4873,1192,"24,46%",23,4821,911,"18,90%",25,3990,1492,37.39%,25,3762,989,26.29%,25,3972,1008,25.38%,26,4594,1372,29.87%,25,4211,1180,28.02%
جندوبة,32,26,4498,930,"20,68%",22,4948,1121,"22,66%",21,5117,1010,"19,74%",26,4532,1618,35.70%,24,4285,1268,29.59%,24,4189,1153,27.52%,25,4123,1483,35.97%,24,4742,1340,28.26%
